episode,reward,avg_reward,epsilon,duration
96,-390.0705389111042,-1522.2331711196084,0.6180388156137953,0.4847257137298584
97,-445.79408872786166,-1511.1358609918584,0.6149486215357263,0.43420910835266113
98,-414.6527513163835,-1499.9472578319044,0.6118738784280476,0.6061892509460449
99,-408.0807781508863,-1488.918303491692,0.6088145090359074,0.842982292175293
100,-632.2331356118173,-1480.3514518128932,0.6057704364907278,0.4924349784851074
101,-165.4184906399548,-1474.8746092198269,0.6027415843082742,0.8456220626831055
102,-135.26390076342227,-1474.2618433953303,0.5997278763867329,0.8437385559082031
103,-207.5884848261178,-1459.3973065991136,0.5967292370047992,0.6322286128997803
104,-104.56876378375291,-1443.7202041603805,0.5937455908197752,0.8517253398895264
105,-490.18811053651575,-1351.918885490205,0.5907768628656763,0.5642251968383789
106,-816.8535986049772,-1344.8964324804579,0.5878229785513479,0.6080617904663086
107,-27.220349169403313,-1342.313078503296,0.5848838636585911,0.8957526683807373
108,-395.10654507025333,-1339.149952490231,0.5819594443402982,0.6461207866668701
109,-326.69388868387045,-1238.48075869936,0.5790496471185967,0.8505511283874512
110,-293.97100671294334,-1120.129575733165,0.5761543988830038,0.5646347999572754
111,-482.68391970786456,-1118.628537511015,0.5732736268885887,0.7907729148864746
112,-358.08163253086803,-1116.9767691467098,0.5704072587541458,0.7061789035797119
113,-194.12821536938844,-1114.1472146211888,0.567555222460375,0.8453481197357178
114,-415.1649707617164,-1109.8351058602611,0.5647174463480732,0.8257989883422852
115,-388.0131200119779,-1109.6774471993888,0.5618938591163328,0.5590825080871582
116,-491.01354784804585,-1103.3668411585832,0.5590843898207511,0.5347030162811279
117,17.600528440371164,-1085.6103127917604,0.5562889678716474,0.8486771583557129
118,-204.46988372280452,-1074.2303625336153,0.5535075230322891,0.6489770412445068
119,13.756383387751878,-974.832504871353,0.5507399854171277,0.8502895832061768
120,46.82646413327009,-865.299122271515,0.547986285490042,0.8552696704864502
121,-348.896983399123,-863.7040347528973,0.5452463540625918,0.5668487548828125
122,-70.83031884356592,-853.0357337183511,0.5425201222922789,0.6274352073669434
123,-208.31837027340381,-745.0378317200677,0.5398075216808175,0.8455908298492432
124,20.614161820530896,-741.8641672355175,0.5371084840724134,0.8513760566711426
125,9.416613453000792,-737.2005600602047,0.5344229416520513,0.8537087440490723
126,-50.51740307367592,-728.6794850734582,0.531750826943791,0.8572466373443604
127,-17.60781448993086,-641.9461161969979,0.5290920728090721,0.8524301052093506
128,36.05837212589384,-637.7087542038972,0.5264466124450268,0.8779258728027344
129,4.282516177192331,-545.8245448514406,0.5238143793828016,0.8565082550048828
130,-2.6250408185571423,-540.0716991072294,0.5211953074858876,0.8585731983184814
131,19.34250197504461,-528.7192943401922,0.5185893309484582,0.8588330745697021
132,-46.145888580560666,-525.3200096308728,0.5159963842937159,0.8642759323120117
133,4.886351223483686,-520.2651479507294,0.5134164023722473,0.8588075637817383
134,5.820077811300756,-516.3425595048171,0.510849320360386,0.8694145679473877
135,-8.077326207488774,-510.2368355579403,0.5082950737585841,0.9068317413330078
